Id;Begintijd;Tijd van voltooien;E-mail;Naam;What is your nationality?;What is your opinion on Stroopwafels?;What is your opinion on Drop?;What is your opinion on Bitterballen?
1;13-11-2025 09:34;13-11-2025 09:34;anonymous;;Dutch;Love;Love;Love
2;13-11-2025 12:39;13-11-2025 12:39;anonymous;;Dutch;Love;Love;Love
3;13-11-2025 12:39;13-11-2025 12:39;anonymous;;Non-Dutch;Love;Hate;Love
4;13-11-2025 12:39;13-11-2025 12:39;anonymous;;Dutch;Love;Love;Love
5;13-11-2025 12:39;13-11-2025 12:39;anonymous;;Dutch;Love;Love;Love
6;13-11-2025 12:39;13-11-2025 12:39;anonymous;;Dutch;Love;Love;Love
7;13-11-2025 12:39;13-11-2025 12:39;anonymous;;Dutch;Love;Love;Love
8;13-11-2025 12:39;13-11-2025 12:39;anonymous;;Dutch;Love;Hate;Hate
9;13-11-2025 12:39;13-11-2025 12:39;anonymous;;Dutch;Love;Hate;Love
10;13-11-2025 12:39;13-11-2025 12:39;anonymous;;Dutch;Love;Hate;Love
11;13-11-2025 12:39;13-11-2025 12:39;anonymous;;Dutch;Love;Love;Love
12;13-11-2025 12:39;13-11-2025 12:39;anonymous;;Non-Dutch;Love;Hate;Love
13;13-11-2025 12:39;13-11-2025 12:39;anonymous;;Dutch;Love;Love;Love
14;13-11-2025 12:39;13-11-2025 12:39;anonymous;;Dutch;Love;Hate;Love
15;13-11-2025 12:39;13-11-2025 12:39;anonymous;;Non-Dutch;Love;Hate;Love
16;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
17;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Hate
18;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Hate;Love;Love
19;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
20;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
21;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
22;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
23;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
24;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
25;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
26;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
27;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
28;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
29;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
30;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Hate;Love
31;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
32;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Dutch;Love;Love;Love
33;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Hate
34;13-11-2025 12:39;13-11-2025 12:40;anonymous;;Non-Dutch;Love;Hate;Love
